ID ANNONCEUR;ANNONCEUR                                         ;ID AGENCE MEDIA;AGENCE MEDIA                                      ;ID CLASSE;CLASSE                                            ;ID GROUPE;GROUPE                                            ;ID FAMILLE;FAMILLE                                           ;ID REGIE;REGIE                                             ;ID SUPPORT;SUPPORT                                           ;ID PRODUIT;PRODUIT                                           ;CODE SIRET                                        ;ANNEES;SEMAINES;IP BRUT;NBRE DE SPOTS;
1350;EDIT.ALBIN MICHEL                                 ;990;ANNONCEURS DIRECTS                                ;70;EDITION IMPRIMEE                                  ;542;LIVRES ET ENCYCLOPEDIES                           ;16;EDITION                                           ;236;RADIO FRANCE PUBLICITE                            ;2020;FRANCE INTER                                      ;307465;ED.ALBIN MICHEL AMELIE NOTHOMB                    ;32502099800010                                    ;2025;40;15 610;10;
1350;EDIT.ALBIN MICHEL                                 ;990;ANNONCEURS DIRECTS                                ;70;EDITION IMPRIMEE                                  ;542;LIVRES ET ENCYCLOPEDIES                           ;16;EDITION                                           ;1341;LAGARDERE PUBLICITE NEWS                          ;2003;EUROPE 1                                          ;1087328;ED.ALBIN MICHEL MICHEL ONFRAY                     ;32502099800010                                    ;2025;40;8 930;13;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;236;RADIO FRANCE PUBLICITE                            ;2020;FRANCE INTER                                      ;624972;PICARD NOIX DE ST JACQUES                         ;78493968810915                                    ;2025;40;18 230;5;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;236;RADIO FRANCE PUBLICITE                            ;2022;FRANCE INFO                                       ;624972;PICARD NOIX DE ST JACQUES                         ;78493968810915                                    ;2025;40;6 800;8;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;236;RADIO FRANCE PUBLICITE                            ;18919;ICI                                               ;624972;PICARD NOIX DE ST JACQUES                         ;78493968810915                                    ;2025;40;7 100;7;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;422;NRJ GLOBAL                                        ;2004;NRJ NATIONAL                                      ;624972;PICARD NOIX DE ST JACQUES                         ;78493968810915                                    ;2025;40;31 840;5;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;422;NRJ GLOBAL                                        ;2015;CHERIE FM                                         ;624972;PICARD NOIX DE ST JACQUES                         ;78493968810915                                    ;2025;40;31 090;11;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;422;NRJ GLOBAL                                        ;2018;NOSTALGIE                                         ;624972;PICARD NOIX DE ST JACQUES                         ;78493968810915                                    ;2025;40;60 160;12;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;422;NRJ GLOBAL                                        ;2025;RIRE ET CHANSONS                                  ;624972;PICARD NOIX DE ST JACQUES                         ;78493968810915                                    ;2025;40;15 480;10;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;424;TF1 PUBLICITE                                     ;2019;LES INDES RADIOS                                  ;624972;PICARD NOIX DE ST JACQUES                         ;78493968810915                                    ;2025;40;130 750;11;
