ID ANNONCEUR;ANNONCEUR                                         ;ID AGENCE MEDIA;AGENCE MEDIA                                      ;ID CLASSE;CLASSE                                            ;ID GROUPE;GROUPE                                            ;ID FAMILLE;FAMILLE                                           ;ID REGIE;REGIE                                             ;ID SUPPORT;SUPPORT                                           ;ID PRODUIT;PRODUIT                                           ;ANNEES;MOIS;IP BRUT;NBRE DE SPOTS;
1350;EDIT.ALBIN MICHEL                                 ;990;ANNONCEURS DIRECTS                                ;70;EDITION IMPRIMEE                                  ;542;LIVRES ET ENCYCLOPEDIES                           ;16;EDITION                                           ;236;RADIO FRANCE PUBLICITE                            ;2020;FRANCE INTER                                      ;314960;ED.ALBIN MICHEL ERIC EMMANUEL SCHMITT             ;2025;10;43 760;20;
1350;EDIT.ALBIN MICHEL                                 ;990;ANNONCEURS DIRECTS                                ;70;EDITION IMPRIMEE                                  ;542;LIVRES ET ENCYCLOPEDIES                           ;16;EDITION                                           ;427;M6 UNLIMITED                                      ;2002;RTL                                               ;318481;ED.ALBIN MICHEL JEAN CHRISTOPHE GRANGE            ;2025;10;115 741;25;
1350;EDIT.ALBIN MICHEL                                 ;990;ANNONCEURS DIRECTS                                ;70;EDITION IMPRIMEE                                  ;542;LIVRES ET ENCYCLOPEDIES                           ;16;EDITION                                           ;1341;LAGARDERE PUBLICITE NEWS                          ;2003;EUROPE 1                                          ;1087328;ED.ALBIN MICHEL MICHEL ONFRAY                     ;2025;10;38 000;54;
1350;EDIT.ALBIN MICHEL                                 ;990;ANNONCEURS DIRECTS                                ;70;EDITION IMPRIMEE                                  ;542;LIVRES ET ENCYCLOPEDIES                           ;16;EDITION                                           ;1154;KETIL MEDIA                                       ;2009;RADIO CLASSIQUE                                   ;1254025;ED.ALBIN MICHEL MARC DUGAIN                       ;2025;10;55 600;35;
1350;EDIT.ALBIN MICHEL                                 ;990;ANNONCEURS DIRECTS                                ;70;EDITION IMPRIMEE                                  ;542;LIVRES ET ENCYCLOPEDIES                           ;16;EDITION                                           ;236;RADIO FRANCE PUBLICITE                            ;2020;FRANCE INTER                                      ;1363252;ED.ALBIN MICHEL CLARA DUPONT MONOD                ;2025;10;34 900;15;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;236;RADIO FRANCE PUBLICITE                            ;2020;FRANCE INTER                                      ;624972;PICARD NOIX DE ST JACQUES                         ;2025;10;29 150;9;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;236;RADIO FRANCE PUBLICITE                            ;2022;FRANCE INFO                                       ;624972;PICARD NOIX DE ST JACQUES                         ;2025;10;8 570;11;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;236;RADIO FRANCE PUBLICITE                            ;18919;ICI                                               ;624972;PICARD NOIX DE ST JACQUES                         ;2025;10;3 560;9;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;422;NRJ GLOBAL                                        ;2004;NRJ NATIONAL                                      ;624972;PICARD NOIX DE ST JACQUES                         ;2025;10;63 530;8;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;422;NRJ GLOBAL                                        ;2015;CHERIE FM                                         ;624972;PICARD NOIX DE ST JACQUES                         ;2025;10;47 700;15;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;422;NRJ GLOBAL                                        ;2018;NOSTALGIE                                         ;624972;PICARD NOIX DE ST JACQUES                         ;2025;10;88 640;17;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;422;NRJ GLOBAL                                        ;2025;RIRE ET CHANSONS                                  ;624972;PICARD NOIX DE ST JACQUES                         ;2025;10;25 130;17;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;424;TF1 PUBLICITE                                     ;2019;LES INDES RADIOS                                  ;624972;PICARD NOIX DE ST JACQUES                         ;2025;10;174 320;14;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;427;M6 UNLIMITED                                      ;2002;RTL                                               ;624972;PICARD NOIX DE ST JACQUES                         ;2025;10;65 510;11;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;427;M6 UNLIMITED                                      ;2008;RTL 2                                             ;624972;PICARD NOIX DE ST JACQUES                         ;2025;10;63 350;17;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;427;M6 UNLIMITED                                      ;2014;FUN RADIO                                         ;624972;PICARD NOIX DE ST JACQUES                         ;2025;10;55 540;15;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;427;M6 UNLIMITED                                      ;2033;M RADIO                                           ;624972;PICARD NOIX DE ST JACQUES                         ;2025;10;16 660;15;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;535;SKYROCK PUBLIC                                    ;2044;SKYROCK BOX                                       ;624972;PICARD NOIX DE ST JACQUES                         ;2025;10;9;9;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;1341;LAGARDERE PUBLICITE NEWS                          ;2003;EUROPE 1                                          ;624972;PICARD NOIX DE ST JACQUES                         ;2025;10;33 460;10;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;1341;LAGARDERE PUBLICITE NEWS                          ;2007;EUROPE 2                                          ;624972;PICARD NOIX DE ST JACQUES                         ;2025;10;16 090;15;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;1341;LAGARDERE PUBLICITE NEWS                          ;2013;RFM                                               ;624972;PICARD NOIX DE ST JACQUES                         ;2025;10;32 810;12;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;1341;LAGARDERE PUBLICITE NEWS                          ;19129;NOVA                                              ;624972;PICARD NOIX DE ST JACQUES                         ;2025;10;29 800;18;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;236;RADIO FRANCE PUBLICITE                            ;2020;FRANCE INTER                                      ;833995;PICARD MINI CHEESEBURGER                          ;2025;10;26 770;9;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;236;RADIO FRANCE PUBLICITE                            ;2022;FRANCE INFO                                       ;833995;PICARD MINI CHEESEBURGER                          ;2025;10;4 920;10;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;236;RADIO FRANCE PUBLICITE                            ;18919;ICI                                               ;833995;PICARD MINI CHEESEBURGER                          ;2025;10;7 750;8;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;422;NRJ GLOBAL                                        ;2004;NRJ NATIONAL                                      ;833995;PICARD MINI CHEESEBURGER                          ;2025;10;54 100;9;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;422;NRJ GLOBAL                                        ;2015;CHERIE FM                                         ;833995;PICARD MINI CHEESEBURGER                          ;2025;10;44 780;16;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;422;NRJ GLOBAL                                        ;2018;NOSTALGIE                                         ;833995;PICARD MINI CHEESEBURGER                          ;2025;10;89 650;18;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;422;NRJ GLOBAL                                        ;2025;RIRE ET CHANSONS                                  ;833995;PICARD MINI CHEESEBURGER                          ;2025;10;24 110;17;
