ID ANNONCEUR;ANNONCEUR                                         ;ID AGENCE MEDIA;AGENCE MEDIA                                      ;ID CLASSE;CLASSE                                            ;ID GROUPE;GROUPE                                            ;ID FAMILLE;FAMILLE                                           ;ID REGIE;REGIE                                             ;ID SUPPORT;SUPPORT                                           ;ID PRODUIT;PRODUIT                                           ;CODE SIRET                                        ;ANNEES;SEMAINES;IP BRUT;NBRE DE SPOTS;
1180;THEATRE BOUFFES DU NORD                           ;9999;ZZ INCONNU                                        ;321;SALONS MANIF.SPECTACLES                           ;539;SPECTACLES-MANIFESTATIONS                         ;32;CULTURE & LOISIRS                                 ;1154;KETIL MEDIA                                       ;2009;RADIO CLASSIQUE                                   ;85660;THEATRE BOUFFES DU NORD                           ;Non renseigné                                     ;2025;47;9 900;12;
1350;EDIT.ALBIN MICHEL                                 ;990;ANNONCEURS DIRECTS                                ;70;EDITION IMPRIMEE                                  ;542;LIVRES ET ENCYCLOPEDIES                           ;16;EDITION                                           ;236;RADIO FRANCE PUBLICITE                            ;2020;FRANCE INTER                                      ;1172341;ED.ALBIN MICHEL ART CULTURE LOISIRS               ;32502099800010                                    ;2025;47;25 200;12;
1350;EDIT.ALBIN MICHEL                                 ;990;ANNONCEURS DIRECTS                                ;70;EDITION IMPRIMEE                                  ;542;LIVRES ET ENCYCLOPEDIES                           ;16;EDITION                                           ;427;M6 UNLIMITED                                      ;2002;RTL                                               ;1365626;ED.ALBIN MICHEL ANAIS BOUTON                      ;32502099800010                                    ;2025;47;28 241;9;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;236;RADIO FRANCE PUBLICITE                            ;2020;FRANCE INTER                                      ;619421;PICARD FORMULE EXPRESS                            ;78493968810915                                    ;2025;47;49 070;14;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;236;RADIO FRANCE PUBLICITE                            ;2022;FRANCE INFO                                       ;619421;PICARD FORMULE EXPRESS                            ;78493968810915                                    ;2025;47;13 080;16;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;236;RADIO FRANCE PUBLICITE                            ;18919;ICI                                               ;619421;PICARD FORMULE EXPRESS                            ;78493968810915                                    ;2025;47;4 930;16;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;422;NRJ GLOBAL                                        ;2004;NRJ NATIONAL                                      ;619421;PICARD FORMULE EXPRESS                            ;78493968810915                                    ;2025;47;109 660;14;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;422;NRJ GLOBAL                                        ;2015;CHERIE FM                                         ;619421;PICARD FORMULE EXPRESS                            ;78493968810915                                    ;2025;47;79 250;22;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;422;NRJ GLOBAL                                        ;2018;NOSTALGIE                                         ;619421;PICARD FORMULE EXPRESS                            ;78493968810915                                    ;2025;47;159 790;22;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;422;NRJ GLOBAL                                        ;2025;RIRE ET CHANSONS                                  ;619421;PICARD FORMULE EXPRESS                            ;78493968810915                                    ;2025;47;44 140;22;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;424;TF1 PUBLICITE                                     ;2019;LES INDES RADIOS                                  ;619421;PICARD FORMULE EXPRESS                            ;78493968810915                                    ;2025;47;307 660;22;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;427;M6 UNLIMITED                                      ;2008;RTL 2                                             ;619421;PICARD FORMULE EXPRESS                            ;78493968810915                                    ;2025;47;116 440;28;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;427;M6 UNLIMITED                                      ;2014;FUN RADIO                                         ;619421;PICARD FORMULE EXPRESS                            ;78493968810915                                    ;2025;47;112 520;28;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;427;M6 UNLIMITED                                      ;2033;M RADIO                                           ;619421;PICARD FORMULE EXPRESS                            ;78493968810915                                    ;2025;47;35 380;28;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;535;SKYROCK PUBLIC                                    ;2044;SKYROCK BOX                                       ;619421;PICARD FORMULE EXPRESS                            ;78493968810915                                    ;2025;47;19;19;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;716;RMC BFM ADS                                       ;2001;RMC INFO                                          ;619421;PICARD FORMULE EXPRESS                            ;78493968810915                                    ;2025;47;173 635;24;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;1341;LAGARDERE PUBLICITE NEWS                          ;2003;EUROPE 1                                          ;619421;PICARD FORMULE EXPRESS                            ;78493968810915                                    ;2025;47;68 510;21;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;1341;LAGARDERE PUBLICITE NEWS                          ;2007;EUROPE 2                                          ;619421;PICARD FORMULE EXPRESS                            ;78493968810915                                    ;2025;47;29 220;27;
